timestamps,TP9,AF7,AF8,TP10,Right AUX
1709720529.508,-12.207,-45.898,-35.645,-31.738,0.000
1709720529.511,-4.883,-46.387,-28.320,-10.742,0.000
1709720529.515,-45.410,-53.223,-39.062,-51.758,0.000
1709720529.519,-61.523,-44.434,-34.180,-74.219,0.000
1709720529.523,-45.410,-43.945,-24.902,-66.895,0.000
1709720529.527,-33.691,-47.852,-26.855,-50.781,0.000
1709720529.531,-31.738,-38.086,-38.086,-32.715,0.000
1709720529.535,-33.691,-38.086,-44.434,-50.293,0.000
1709720529.539,-54.688,-53.223,-42.969,-83.984,0.000
1709720529.543,-63.477,-50.781,-42.969,-94.238,0.000
1709720529.547,-36.133,-42.969,-44.922,-73.242,0.000
1709720529.551,-12.207,-42.480,-39.551,-39.062,0.000
1709720529.554,-26.367,-36.621,-30.273,-36.133,0.000
1709720529.558,-70.312,-50.293,-43.457,-83.496,0.000
1709720529.562,-74.707,-53.711,-49.316,-109.375,0.000
1709720529.566,-47.363,-44.434,-39.551,-73.730,0.000
1709720529.570,-30.273,-44.922,-35.156,-41.016,0.000
1709720529.574,-45.898,-59.082,-40.527,-58.105,0.000
1709720529.578,-65.918,-57.617,-42.969,-82.031,0.000
1709720529.582,-61.523,-44.922,-29.297,-72.266,0.000
1709720529.586,-58.594,-41.992,-27.832,-50.781,0.000
1709720529.590,-51.758,-44.434,-31.738,-50.293,0.000
1709720529.593,-47.852,-53.711,-35.645,-52.734,0.000
1709720529.597,-50.781,-51.270,-30.273,-49.805,0.000
1709720529.601,-51.270,-56.641,-30.762,-69.336,0.000
1709720529.605,-55.176,-56.641,-39.551,-75.195,0.000
1709720529.609,-51.758,-48.828,-36.133,-60.547,0.000
1709720529.613,-19.531,-41.504,-19.043,-30.273,0.000
1709720529.617,-27.344,-38.574,-22.461,-34.668,0.000
1709720529.621,-81.543,-49.805,-36.621,-77.637,0.000
1709720529.625,-73.730,-50.781,-34.668,-67.383,0.000
1709720529.629,-48.340,-53.223,-42.480,-55.176,0.000
1709720529.633,-54.199,-62.500,-47.852,-57.617,0.000
1709720529.636,-64.453,-54.199,-41.504,-77.637,0.000
1709720529.640,-67.871,-45.410,-34.180,-87.402,0.000
1709720529.644,-65.430,-50.781,-37.109,-72.266,0.000
1709720529.648,-57.129,-47.363,-37.109,-61.523,0.000
1709720529.652,-54.688,-49.805,-42.969,-61.035,0.000
1709720529.656,-53.711,-52.246,-43.945,-67.383,0.000
1709720529.660,-50.293,-46.875,-32.715,-70.312,0.000
1709720529.664,-73.730,-47.363,-37.109,-92.285,0.000
1709720529.668,-66.406,-42.480,-40.527,-82.520,0.000
1709720529.672,-37.109,-41.016,-37.109,-45.410,0.000
1709720529.676,-58.105,-41.504,-40.527,-61.035,0.000
1709720529.679,-87.402,-39.551,-34.668,-98.145,0.000
1709720529.683,-80.078,-37.109,-29.785,-100.586,0.000
1709720529.687,-57.129,-42.969,-20.020,-72.266,0.000
1709720529.691,-48.828,-45.410,-25.879,-56.152,0.000
1709720529.695,-57.129,-36.133,-40.527,-74.707,0.000
1709720529.699,-75.195,-38.574,-29.297,-99.609,0.000
1709720529.703,-64.453,-44.434,-19.043,-84.961,0.000
1709720529.707,-35.156,-43.457,-23.926,-40.527,0.000
1709720529.711,-65.918,-54.199,-41.504,-51.758,0.000
1709720529.715,-96.191,-51.758,-47.363,-91.797,0.000
1709720529.719,-99.121,-47.852,-46.387,-104.004,0.000
1709720529.722,-84.473,-52.734,-42.480,-91.797,0.000
1709720529.726,-60.059,-42.969,-41.016,-79.590,0.000
1709720529.730,-47.363,-38.574,-39.551,-59.082,0.000
1709720529.734,-48.828,-43.457,-35.645,-50.293,0.000
1709720529.738,-56.152,-55.176,-33.203,-66.895,0.000
1709720529.742,-61.523,-61.035,-40.039,-83.008,0.000
1709720529.746,-42.480,-50.781,-35.156,-69.336,0.000
1709720529.750,-16.113,-42.969,-14.648,-21.484,0.000
1709720529.754,-38.574,-50.293,-29.297,-42.480,0.000
1709720529.758,-55.176,-54.688,-41.016,-80.566,0.000
1709720529.761,-41.504,-40.527,-27.344,-64.453,0.000
1709720529.765,-41.016,-39.062,-22.949,-49.805,0.000
1709720529.769,-42.480,-47.852,-32.227,-46.875,0.000
1709720529.773,-32.227,-46.387,-38.574,-41.016,0.000
1709720529.777,-50.293,-47.363,-36.133,-62.988,0.000
1709720529.781,-66.406,-48.828,-30.762,-83.008,0.000
1709720529.785,-46.387,-44.434,-26.855,-55.664,0.000
1709720529.789,-29.297,-41.992,-20.996,-38.574,0.000
1709720529.793,-0.977,-35.645,-11.230,-20.020,0.000
1709720529.797,-9.766,-41.016,-18.066,-26.367,0.000
1709720529.800,-66.895,-62.500,-39.551,-77.148,0.000
1709720529.804,-76.172,-62.012,-36.621,-84.961,0.000
1709720529.808,-52.246,-48.828,-26.855,-69.336,0.000
1709720529.812,-47.363,-47.363,-20.996,-67.871,0.000
1709720529.816,-50.781,-40.527,-18.555,-80.566,0.000
1709720529.820,-54.688,-40.527,-21.973,-75.195,0.000
1709720529.824,-63.477,-48.340,-32.715,-68.848,0.000
1709720529.828,-53.711,-47.363,-33.203,-73.242,0.000
1709720529.832,-46.875,-41.504,-31.738,-65.430,0.000
1709720529.836,-58.594,-52.734,-36.621,-75.195,0.000
1709720529.840,-49.316,-55.176,-27.832,-86.914,0.000
1709720529.843,-59.082,-50.293,-31.738,-100.586,0.000
1709720529.847,-61.035,-51.270,-41.992,-76.172,0.000
1709720529.851,-47.852,-48.828,-39.551,-50.781,0.000
1709720529.855,-57.617,-52.734,-36.621,-70.312,0.000
1709720529.859,-69.336,-51.758,-31.250,-92.285,0.000
1709720529.863,-68.359,-43.457,-34.180,-92.285,0.000
1709720529.867,-61.523,-49.805,-36.621,-71.777,0.000
1709720529.871,-49.316,-53.711,-27.832,-52.246,0.000
1709720529.875,-42.969,-50.293,-26.367,-46.387,0.000
1709720529.879,-55.664,-46.387,-34.668,-71.289,0.000
1709720529.883,-41.992,-38.086,-22.949,-64.941,0.000
1709720529.886,-35.645,-44.922,-20.020,-42.969,0.000
1709720529.890,-66.895,-58.105,-41.016,-68.848,0.000
1709720529.894,-63.477,-47.363,-32.227,-64.941,0.000
1709720529.898,-56.152,-44.434,-20.508,-59.570,0.000
1709720529.902,-63.965,-60.547,-27.344,-77.148,0.000
1709720529.906,-56.641,-52.734,-43.945,-76.172,0.000
1709720529.910,-45.410,-34.668,-41.504,-44.922,0.000
1709720529.914,-46.387,-36.621,-28.809,-50.781,0.000
1709720529.918,-63.965,-47.363,-28.809,-92.773,0.000
1709720529.922,-65.918,-42.969,-18.066,-89.844,0.000
1709720529.925,-50.781,-39.551,-13.672,-65.918,0.000
1709720529.929,-28.809,-41.504,-18.555,-39.062,0.000
1709720529.933,-45.410,-49.805,-24.414,-55.176,0.000
1709720529.937,-75.195,-56.152,-35.156,-96.191,0.000
1709720529.941,-62.012,-55.664,-34.668,-79.590,0.000
1709720529.945,-53.223,-55.176,-27.832,-55.664,0.000
1709720529.949,-55.176,-48.340,-26.367,-53.711,0.000
1709720529.953,-48.828,-44.922,-25.879,-45.898,0.000
1709720529.957,-47.363,-34.668,-20.508,-47.363,0.000
1709720529.961,-65.430,-41.992,-23.926,-63.477,0.000
1709720529.965,-71.289,-53.711,-31.738,-73.242,0.000
1709720529.968,-51.270,-49.805,-38.086,-57.617,0.000
1709720529.972,-28.809,-45.898,-29.297,-18.555,0.000
1709720529.976,-43.457,-41.992,-27.344,-22.949,0.000
1709720529.980,-74.707,-48.340,-36.133,-78.125,0.000
1709720529.984,-68.848,-55.664,-31.738,-87.891,0.000
1709720529.988,-29.297,-46.875,-29.297,-51.270,0.000
1709720529.992,-38.086,-47.852,-37.598,-45.898,0.000
1709720529.996,-80.566,-61.035,-42.480,-71.289,0.000
1709720530.000,-80.078,-63.965,-36.621,-80.566,0.000
1709720530.004,-72.266,-58.594,-40.527,-75.195,0.000
1709720530.008,-55.664,-51.758,-40.527,-63.965,0.000
1709720530.011,-45.410,-52.734,-39.551,-57.129,0.000
1709720530.015,-57.617,-44.922,-39.551,-58.594,0.000
1709720530.019,-68.359,-45.410,-31.738,-65.430,0.000
1709720530.023,-79.102,-52.246,-33.203,-84.961,0.000
1709720530.027,-81.055,-49.316,-31.738,-89.355,0.000
1709720530.031,-58.105,-45.410,-20.996,-66.895,0.000
1709720530.035,-47.852,-43.945,-23.926,-51.270,0.000
1709720530.039,-70.801,-47.852,-34.180,-84.473,0.000
1709720530.043,-77.148,-50.781,-37.598,-99.609,0.000
1709720530.047,-60.059,-46.387,-32.715,-66.406,0.000
1709720530.050,-52.246,-47.363,-28.809,-50.293,0.000
1709720530.054,-61.035,-55.176,-27.832,-67.871,0.000
1709720530.058,-62.012,-54.199,-22.461,-78.125,0.000
1709720530.062,-59.570,-47.363,-21.484,-58.594,0.000
1709720530.066,-52.734,-42.969,-29.297,-42.969,0.000
1709720530.070,-41.504,-41.504,-35.156,-46.387,0.000
1709720530.074,-49.805,-45.898,-30.273,-56.152,0.000
1709720530.078,-47.363,-51.758,-19.531,-55.176,0.000
1709720530.082,-48.340,-51.758,-21.484,-64.453,0.000
1709720530.086,-66.406,-46.387,-36.621,-85.449,0.000
1709720530.090,-46.875,-39.551,-27.832,-60.547,0.000
1709720530.093,-36.133,-39.551,-25.391,-46.387,0.000
1709720530.097,-66.406,-41.016,-45.410,-76.660,0.000
1709720530.101,-82.031,-50.293,-46.387,-100.586,0.000
1709720530.105,-64.453,-47.852,-31.738,-83.008,0.000
1709720530.109,-57.129,-43.945,-30.273,-65.430,0.000
1709720530.113,-54.199,-43.945,-32.715,-67.383,0.000
1709720530.117,-76.660,-47.363,-35.156,-85.449,0.000
1709720530.121,-80.078,-44.434,-26.367,-93.262,0.000
1709720530.125,-61.523,-41.016,-20.020,-89.355,0.000
1709720530.129,-83.984,-52.734,-34.180,-85.938,0.000
1709720530.132,-91.309,-52.734,-39.062,-93.750,0.000
1709720530.136,-76.172,-43.457,-38.574,-86.914,0.000
1709720530.140,-78.125,-50.781,-33.691,-91.309,0.000
1709720530.144,-104.004,-56.152,-33.691,-134.766,0.000
1709720530.148,-97.656,-50.293,-34.180,-118.164,0.000
1709720530.152,-56.641,-41.992,-24.902,-66.895,0.000
1709720530.156,-56.641,-39.062,-19.531,-72.754,0.000
1709720530.160,-83.984,-55.176,-18.555,-93.750,0.000
1709720530.164,-79.590,-60.059,-14.160,-84.473,0.000
1709720530.168,-34.668,-51.758,-1.465,-34.180,0.000
1709720530.172,-14.648,-45.410,-2.441,1.953,0.000
1709720530.175,-54.688,-63.477,-16.113,-51.270,0.000
1709720530.179,-65.430,-74.707,-12.207,-76.660,0.000
1709720530.183,-43.945,-59.570,-10.742,-53.223,0.000
1709720530.187,-35.156,-52.246,-10.254,-44.922,0.000
1709720530.191,-36.133,-67.383,-14.648,-28.320,0.000
1709720530.195,-22.461,-69.336,-20.996,-28.320,0.000
1709720530.199,-19.043,-62.012,-21.484,-39.551,0.000
1709720530.203,-28.320,-65.918,-21.484,-35.645,0.000
1709720530.207,-8.301,-61.523,-18.066,-22.461,0.000
1709720530.211,5.859,-60.059,-14.648,1.953,0.000
1709720530.215,4.883,-66.406,-5.371,15.625,0.000
1709720530.218,-24.902,-69.824,-10.742,-30.762,0.000
1709720530.222,-49.805,-73.242,-32.715,-67.871,0.000
1709720530.226,-29.297,-65.430,-29.297,-44.922,0.000
1709720530.230,-15.625,-65.918,-21.484,-24.902,0.000
1709720530.234,-28.320,-65.918,-21.484,-30.762,0.000
1709720530.238,-32.715,-58.105,-21.484,-41.016,0.000
1709720530.242,-24.414,-58.594,-23.926,-41.992,0.000
1709720530.246,-29.297,-67.383,-23.926,-33.203,0.000
1709720530.250,-21.973,-66.406,-28.320,-25.391,0.000
1709720530.254,-17.090,-58.594,-24.414,-20.020,0.000
1709720530.257,-24.902,-56.641,-20.020,-26.855,0.000
1709720530.261,-28.809,-60.059,-21.973,-48.828,0.000
1709720530.265,-42.480,-64.453,-33.203,-65.918,0.000
1709720530.269,-24.414,-53.711,-36.133,-39.062,0.000
1709720530.273,-6.836,-54.199,-26.855,-7.324,0.000
1709720530.277,-39.551,-67.871,-36.133,-37.598,0.000
1709720530.281,-58.594,-73.730,-47.363,-76.172,0.000
1709720530.285,-37.598,-66.406,-37.109,-63.965,0.000
1709720530.289,-16.602,-49.316,-30.762,-43.457,0.000
1709720530.293,-14.160,-48.828,-26.855,-26.855,0.000
1709720530.297,-31.738,-58.105,-32.715,-37.109,0.000
1709720530.300,-41.016,-57.129,-34.668,-57.617,0.000
1709720530.304,-29.297,-44.434,-25.391,-30.762,0.000
1709720530.308,-28.320,-49.805,-35.645,-32.715,0.000
1709720530.312,-33.203,-56.152,-38.086,-53.711,0.000
1709720530.316,-38.574,-44.922,-24.414,-44.434,0.000
1709720530.320,-45.898,-45.898,-27.344,-54.688,0.000
1709720530.324,-44.922,-47.363,-34.180,-60.059,0.000
1709720530.328,-37.598,-44.922,-30.762,-53.223,0.000
1709720530.332,-26.855,-48.340,-26.367,-41.992,0.000
1709720530.336,-46.875,-53.223,-27.832,-61.035,0.000
1709720530.339,-74.219,-61.523,-31.250,-84.961,0.000
1709720530.343,-57.129,-55.176,-26.367,-64.453,0.000
1709720530.347,-15.137,-30.762,-16.113,-28.809,0.000
1709720530.351,-20.508,-32.227,-24.414,-15.625,0.000
1709720530.355,-47.363,-49.805,-36.133,-47.363,0.000
1709720530.359,-63.965,-57.129,-35.645,-80.078,0.000
1709720530.363,-49.316,-47.852,-24.414,-50.781,0.000
1709720530.367,-38.574,-45.898,-22.949,-40.527,0.000
1709720530.371,-58.594,-61.035,-37.109,-63.965,0.000
1709720530.375,-51.758,-45.410,-30.762,-54.688,0.000
1709720530.379,-51.758,-34.180,-21.484,-59.570,0.000
1709720530.382,-71.289,-55.664,-40.039,-81.543,0.000
1709720530.386,-60.059,-49.805,-40.039,-62.500,0.000
1709720530.390,-41.016,-39.062,-35.645,-31.250,0.000
1709720530.394,-49.316,-51.758,-42.969,-42.969,0.000
1709720530.398,-71.777,-50.781,-39.551,-66.406,0.000
1709720530.402,-73.730,-51.758,-36.133,-76.660,0.000
1709720530.406,-46.387,-57.129,-30.762,-63.965,0.000
1709720530.410,-38.574,-43.457,-25.391,-42.480,0.000
1709720530.414,-62.012,-46.387,-35.645,-59.570,0.000
1709720530.418,-81.055,-59.570,-36.621,-78.125,0.000
1709720530.422,-83.008,-55.664,-28.809,-72.266,0.000
1709720530.425,-68.848,-45.898,-32.715,-62.012,0.000
1709720530.429,-56.152,-44.922,-34.180,-55.176,0.000
1709720530.433,-53.223,-42.969,-31.250,-46.387,0.000
1709720530.437,-62.988,-40.039,-34.668,-53.223,0.000
1709720530.441,-68.848,-50.781,-33.691,-69.824,0.000
1709720530.445,-54.688,-55.664,-26.855,-65.918,0.000
1709720530.449,-41.504,-46.387,-27.344,-55.664,0.000
1709720530.453,-21.973,-39.551,-20.996,-39.062,0.000
1709720530.457,-50.293,-43.945,-21.973,-54.688,0.000
1709720530.461,-96.680,-60.547,-37.598,-103.027,0.000
1709720530.464,-80.566,-60.059,-41.992,-95.703,0.000
1709720530.468,-41.016,-41.504,-28.809,-38.574,0.000
1709720530.472,-38.086,-50.293,-29.785,-33.203,0.000
