PPG3
66247.0
66239.0
66240.0
66214.0
66193.0
66195.0
66182.0
66215.0
66189.0
66162.0
66195.0
66157.0
66145.0
66158.0
66144.0
66138.0
66142.0
66137.0
66145.0
66121.0
66145.0
66121.0
66099.0
66101.0
66080.0
66101.0
66107.0
66121.0
66113.0
66099.0
66107.0
66098.0
66123.0
66124.0
66132.0
66140.0
66126.0
66154.0
66145.0
66150.0
66129.0
66146.0
66164.0
66155.0
66139.0
66159.0
66162.0
66170.0
66176.0
66190.0
66174.0
66210.0
66195.0
66174.0
66173.0
66162.0
66160.0
66140.0
66146.0
66141.0
66115.0
66137.0
66117.0
66104.0
66121.0
66106.0
66137.0
66079.0
66079.0
66087.0
66095.0
66096.0
66094.0
66074.0
66074.0
66081.0
66082.0
66076.0
66055.0
66075.0
66076.0
66048.0
66033.0
66061.0
66040.0
66082.0
66078.0
66065.0
66058.0
66066.0
66046.0
66072.0
66058.0
66055.0
66058.0
66075.0
66075.0
66102.0
66084.0
66110.0
66100.0
66109.0
66136.0
66124.0
66132.0
66142.0
66150.0
66155.0
66165.0
66160.0
66139.0
66143.0
66184.0
66182.0
66173.0
66132.0
66143.0
66144.0
66138.0
66138.0
66140.0
66124.0
66121.0
66086.0
66117.0
66114.0
66120.0
66090.0
66113.0
66105.0
66086.0
66113.0
66133.0
66099.0
66077.0
66108.0
66085.0
66086.0
66081.0
66105.0
66064.0
66089.0
66127.0
66075.0
66057.0
66071.0
66069.0
66058.0
66088.0
66096.0
66094.0
66068.0
66109.0
66109.0
66130.0
66113.0
66102.0
66123.0
66108.0
66149.0
66130.0
66143.0
66136.0
66148.0
66165.0
66168.0
66149.0
66141.0
66139.0
66159.0
66151.0
66150.0
66161.0
66180.0
66183.0
66195.0
66170.0
66164.0
66146.0
66165.0
66139.0
66136.0
66122.0
66147.0
66186.0
66156.0
66146.0
66127.0
66143.0
66150.0
66112.0
66129.0
66098.0
66135.0
66132.0
66145.0
66127.0
66104.0
66135.0
66145.0
66126.0
66138.0
66112.0
66116.0
66130.0
66138.0
66133.0
66144.0
66122.0
66093.0
66142.0
66120.0
66154.0
66154.0
66133.0
66157.0
66131.0
66110.0
66174.0
66143.0
66157.0
66145.0
66145.0
66160.0
66201.0
66190.0
66151.0
66177.0
66149.0
66185.0
66176.0
66154.0
66144.0
66144.0
66124.0
66134.0
66149.0
66119.0
66140.0
66117.0
66134.0
